trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,be_triggered,be_trigger_time_utc,price_at_be_trigger
1,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.044128438787645,941.484397529622,TP1_PARTIAL,50.19999999999811,3.5216721956260244,64.07832780437559,268700,282,True,2025-07-01 08:00:00+00:00,143.06678327804374
2,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,382.48894915572583,HARD_CLOSE,56.800000000001205,19.158340070029567,27.641659929969364,272400,269,False,,
3,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,694.0096256336427,TP1_PARTIAL,46.79999999999893,1.1101778006718632,43.98982219932748,280400,286,True,2025-08-13 08:29:00+00:00,147.34089822199329
4,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-766.9684028067765,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,285100,27,False,,
5,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-59.49838666576546,HARD_CLOSE,49.39999999999998,23.136643669019463,4.6633563309796955,281600,277,False,,
6,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,116.59266463457044,HARD_CLOSE,36.7999999999995,9.480224599934672,15.119775400063418,291500,273,False,,
7,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071392,-141.73417562999,HARD_CLOSE,39.400000000000546,21.891512022347115,22.408487977651248,293500,242,False,,
8,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,914.3935259315996,TP1_PARTIAL,36.69999999999902,11.376778126523844,62.52322187347659,295200,270,True,2025-11-19 09:58:00+00:00,155.95076778126523
9,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,216.01364574964035,HARD_CLOSE,45.79999999999984,9.743187467387315,28.056812532611275,299300,239,False,,
10,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587184,-34.88313359444758,HARD_CLOSE,58.19999999999936,13.343455978434804,1.9565440215643548,299900,234,False,,
11,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 13:00:00+00:00,155.92580224599936,155.99824668158277,155.52580224599936,156.32580224599937,156.72580224599938,40.0,7.244443558340662,138.80695620944232,HARD_CLOSE,37.79999999999859,3.3802245999368097,16.019775400064873,298900,273,False,,
12,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,154.88081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,401.8126162190704,HARD_CLOSE,52.00000000000102,16.718822217401907,38.18117778259875,297300,289,True,2025-12-04 11:08:00+00:00,154.61081177782597
13,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 13:00:00+00:00,156.28437484378267,156.34424668158275,155.88437484378267,156.68437484378268,157.08437484378268,40.0,5.987183780010241,115.34417113613664,HARD_CLOSE,45.599999999998886,30.63748437826632,14.962515621732564,301200,295,False,,
14,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.424741874982466,743.2745689055675,TP1_PARTIAL,37.10000000000093,14.974157512534704,80.22584248746512,306700,265,True,2026-01-14 10:33:00+00:00,158.65825842487465
15,2026-02-03,Tuesday,long,2026-02-03 09:16:00+00:00,2026-02-03 13:00:00+00:00,155.70231809653956,155.86724668158277,155.30231809653955,156.10231809653956,156.50231809653957,40.0,16.49285850432136,320.19164318742975,HARD_CLOSE,32.30000000000075,9.031809653956202,28.268190346045685,302600,224,False,,
