trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
1,2025-06-27 01:30:00+00:00,2025-06-27 01:31:00+00:00,long,144.531031489155,144.5529885590701,144.431031489155,144.601031489155,Trailing_Stop,2.195706991508928,75.94817005847219,75.94817005847219,500000,IB_Low,1,144.52,0.1999999999981128,"C,D",2,wide,Morning_Active,55.04828797190466,144.67754212454213,5.595706991508109,1.904293008493596,1.0,1.0,Friday,1,1.0,True,2025-06,Friday,100075.94817005847,0.0,0.0
2,2025-06-27 01:41:00+00:00,2025-06-27 01:48:00+00:00,long,144.54490937786304,144.44490937786304,144.44490937786304,144.61490937786303,SL_Hit_10,-9.999999999999432,-346.1527319678594,-346.1527319678594,500000,IB_Low,1,144.52,1.5999999999991132,"C,D",2,wide,Morning_Active,55.04828797190466,144.66696732026142,0.8182029599595353,10.784257423412669,1.0,7.0,Friday,1,7.0,False,2025-06,Friday,99729.79543809062,346.1527319678571,0.3458900348159997
3,2025-06-27 01:44:00+00:00,2025-06-27 01:49:00+00:00,long,144.50991153050703,144.40991153050703,144.40991153050703,144.57991153050702,SL_Hit_10,-9.999999999999432,-346.2366223348493,-346.2366223348493,500000,IB_Low,1,144.52,1.9000000000005457,"C,D",2,wide,Morning_Active,55.04828797190466,144.66286031746031,0.0,10.88528941531024,,5.0,Friday,1,5.0,False,2025-06,Friday,99383.55881575576,692.3893543027079,0.6918638963341469
4,2025-06-27 03:46:00+00:00,2025-06-27 03:51:00+00:00,long,144.3792793790811,144.4492793790811,144.27927937908112,144.4492793790811,TP_Hit_7,6.999999999999318,242.2995819047695,242.2995819047695,500000,PTS_Mid,2,144.359,1.300000000000523,"B,C",2,wide,Afternoon_Active,39.721254355400674,144.48417474302497,9.340146023353668,2.5579410422125193,5.0,5.0,Friday,3,5.0,True,2025-06,Friday,99625.85839766053,450.0897723979433,0.4497481968725476
5,2025-06-27 06:02:00+00:00,2025-06-27 06:05:00+00:00,long,144.39705768081106,144.46705768081105,144.29705768081106,144.46705768081105,TP_Hit_7,6.999999999999318,242.269764206913,242.269764206913,500000,PTS_Mid,2,144.359,2.899999999999636,"A,C",2,wide,Afternoon_Active,61.39240506329046,144.48387235996327,7.38639139522661,2.9120857114520504,3.0,3.0,Friday,6,3.0,True,2025-06,Friday,99868.12816186744,207.82000819103268,0.20766229247999266
6,2025-06-30 00:05:00+00:00,2025-06-30 00:08:00+00:00,long,144.52157985227225,144.59157985227225,144.42157985227226,144.59157985227225,TP_Hit_7,6.999999999999318,242.06112164868614,242.06112164868614,500000,PTS_Mid,2,144.49450000000002,1.3499999999993406,"B,C,D",3,unknown,IB_Formation_PTS,41.43835616438518,144.53372222222222,7.075021499264267,4.51891669198119,3.0,3.0,Monday,0,3.0,True,2025-06,Monday,100110.18928351613,0.0,0.0
7,2025-06-30 01:19:00+00:00,2025-06-30 01:24:00+00:00,long,144.51683613800182,144.41683613800183,144.41683613800183,144.58683613800181,SL_Hit_10,-9.999999999999432,-346.22002071987066,-346.22002071987066,500000,PTS_Mid,2,144.49450000000002,1.2499999999988631,"C,D",2,wide,Morning_Active,64.09608091023878,144.58625833333332,0.0,11.464010658559687,,5.0,Monday,1,5.0,False,2025-06,Monday,99763.96926279625,346.22002071987663,0.3458389432661719
8,2025-06-30 01:22:00+00:00,2025-06-30 01:25:00+00:00,long,144.49281220687604,144.39281220687604,144.39281220687604,144.56281220687603,SL_Hit_10,-9.999999999999432,-346.277624459316,-346.277624459316,500000,IB_Low,1,144.476,0.7000000000005002,C,1,wide,Morning_Active,64.09608091023878,144.58274297188754,1.138046275201532,12.26142941972057,1.0,3.0,Monday,1,3.0,False,2025-06,Monday,99417.69163833694,692.4976451791881,0.6917354268684944
9,2025-06-30 02:01:00+00:00,2025-06-30 02:08:00+00:00,long,144.22398162535657,144.12398162535658,144.12398162535658,144.29398162535657,SL_Hit_10,-9.999999999999432,-346.9235267866092,-346.9235267866092,500000,PTS_Low,1,144.178,3.8000000000010914,"B,C",2,wide,Morning_Active,29.577464788731916,144.50404098360656,2.1077064999872164,10.184430215153384,3.0,7.0,Monday,2,7.0,False,2025-06,Monday,99070.76811155034,1039.4211719657906,1.038277101866332
10,2025-06-30 02:05:00+00:00,2025-06-30 02:08:00+00:00,long,144.22592429023234,144.12592429023235,144.12592429023235,144.29592429023234,SL_Hit_10,-9.999999999999432,-346.9188506247501,-346.9188506247501,500000,PTS_Low,1,144.178,3.999999999999204,"B,C",2,wide,Morning_Active,29.577464788731916,144.49489947089947,0.0,10.378696702730394,,3.0,Monday,2,3.0,False,2025-06,Monday,98723.84926092559,1386.3400225905352,1.3848141058492696
