trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
1,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,0.02,50.04179270360352,2511.0914341039115,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,716700,282,1,False,31.13231502284059,7
3,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,0.0075,-19.999999999998863,-769.8105956620313,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,553500,36,2,False,23.561349616835304,7
2,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1036.1181922981282,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,737900,269,1,False,31.40432723237731,7
4,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,0.0075,-19.05701328349778,-771.7740931523288,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,594100,35,1,False,25.72977526391076,7
5,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,0.0075,-0.040046476641464324,-1.829802004587522,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,679700,275,1,False,30.037090378695257,7
6,D,2025-07-29,Tuesday,long,2025-07-29 07:38:00+00:00,2025-07-29 07:58:00+00:00,148.74371017221029,148.5437101722103,148.5437101722103,148.94371017221027,149.1437101722103,20.0,0.0075,-19.999999999998863,-765.9698271174568,SL_FULL,55.60000000000116,19.300000000001205,19.171017221029274,0.8289827789724313,568900,20,1,False,25.13878441735796,7
7,D,2025-07-30,Wednesday,long,2025-07-30 07:25:00+00:00,2025-07-30 12:00:00+00:00,148.0334250223999,148.3030245576335,148.0434250223999,148.2334250223999,148.43342502239992,20.0,0.0075,23.48059608482598,889.8257321342039,TP1_PARTIAL,,16.800000000000637,17.842502239992086,32.6574977600103,561900,275,1,False,24.897862957136297,7
8,D,2025-08-05,Tuesday,long,2025-08-05 07:47:00+00:00,2025-08-05 12:00:00+00:00,147.4127416875484,147.6240245576335,147.42274168754838,147.61274168754838,147.8127416875484,20.0,0.0075,20.56424344110265,786.3860140568147,TP1_PARTIAL,,17.600000000001614,7.674168754837751,36.62583124516061,564500,253,1,False,24.691170977880432,7
9,D,2025-08-06,Wednesday,long,2025-08-06 07:24:00+00:00,2025-08-06 10:16:00+00:00,147.69339594866574,147.70339594866573,147.70339594866573,147.8647918973315,148.03618784599723,17.139594866574726,0.0075,9.068584112367756,407.93204716052935,BE_STOP,44.599999999999795,10.099999999999909,16.139594866572793,19.260405133425706,665100,172,1,False,28.924074374836444,7
10,D,2025-08-12,Tuesday,long,2025-08-12 08:31:00+00:00,2025-08-12 12:00:00+00:00,148.38475945258503,148.4330245576335,148.24,148.52951890517005,148.67427835775507,14.475945258502065,0.0075,4.826510504847192,258.2779206598717,HARD_CLOSE,31.60000000000025,6.19999999999834,3.2759452585025883,11.124054741497957,794300,209,1,False,34.567442200269525,8
11,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,0.02,36.44567412051346,1892.166814990705,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,764500,286,1,False,33.01675985963544,7
12,D,2025-08-19,Tuesday,long,2025-08-19 07:49:00+00:00,2025-08-19 12:00:00+00:00,147.6907267058583,147.7040245576335,147.503,147.87845341171663,148.06618011757496,18.77267058583243,0.0075,1.329785177517806,56.025915234722255,HARD_CLOSE,54.09999999999968,11.50000000000091,9.072670585831588,13.127329414169253,622300,251,1,False,26.405853115668158,7
13,D,2025-08-20,Wednesday,long,2025-08-20 07:32:00+00:00,2025-08-20 12:00:00+00:00,147.50160603634265,147.5310245576335,147.30160603634266,147.70160603634264,147.90160603634266,20.0,0.0075,2.9418521290835997,116.39308361715356,HARD_CLOSE,,12.79999999999859,13.360603634265544,19.43939636573475,583700,268,1,False,24.723103408922185,7
