trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-26 03:25:00+00:00,2023-06-26 03:24:00+00:00,1,2023-06-26 03:56:00+00:00,long,143.40777612279976,143.42777612279977,143.42777612279977,143.60600000000002,tp1_then_be_stop,4.021427067889433,376.87615410676995,5,1344447,6.042857142856966,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.048011519612828,3.158237362990235,False,False,False,,pivot,pivot,0.0,0.0,20.600000000001728,2023-06-26,31.0,100000.0,100376.87615410677,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.633012392709,143.51716,143.401307607291,143.44813879999998,bearish,28.08022922636694,0.12085714285713932
2,2023-06-29 04:37:00+00:00,2023-06-29 04:36:00+00:00,1,2023-06-29 07:00:00+00:00,short,144.54024498978566,144.65333055452336,144.74024498978565,144.24799999999996,session_close,-11.308556473770182,-638.0036684933557,3,816102,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,3.758210372109261,17.03209245289088,False,False,False,,pivot,pivot,0.0,0.0,32.900000000003615,2023-06-29,143.0,100376.87615410677,99738.8724856134,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.24799999999996,144.58721599999996,144.79678399999997,143.90878399999997,143.69921599999995,144.5791437826978,144.43923999999998,144.29933621730217,144.51953805101857,bullish,65.86102719033403,0.07385714285714633
3,2023-06-30 00:19:00+00:00,2023-06-30 00:15:00+00:00,4,2023-06-30 00:47:00+00:00,short,144.8236560392254,144.78307310489208,144.8036560392254,144.59400000000002,tp1_then_trailing_stop,5.029145521776882,282.2521125303799,3,812505,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,11.768494647591865,2.768355483436835,False,False,False,,pivot,pivot,0.0,0.0,25.199999999998113,2023-06-30,28.0,99738.8724856134,100021.12459814378,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.83658402828425,144.76652,144.69645597171578,144.766,bullish,65.37313432836044,0.05599999999999535
4,2023-06-30 06:46:00+00:00,2023-06-30 06:43:00+00:00,3,2023-06-30 07:00:00+00:00,long,144.48830311701684,144.59400000000002,144.50830311701685,144.59400000000002,tp1_then_tp2,8.284844149159198,465.8332927587929,3,812918,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,11.187709389403722,2.2686015955798666,False,False,False,,pivot,pivot,0.0,0.0,11.300000000002797,2023-06-30,14.0,100021.12459814378,100486.95789090257,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.78973944620307,144.66884,144.5479405537969,144.538,bearish,32.943925233643,0.08007142857142924
5,2023-07-03 00:01:00+00:00,2023-07-03 00:00:00+00:00,1,2023-07-03 00:19:00+00:00,short,144.35946205514045,144.33946205514044,144.33946205514044,144.27786799999998,tp1_then_be_stop,3.9999978855026757,262.17283331247563,5,945851,6.0,17.25379448595561,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.730578251290353,4.906215195393315,False,False,False,,pivot,pivot_fallback,0.0,0.0,9.700000000000841,2023-07-03,18.0,100486.95789090257,100749.13072421505,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.326,144.374132,144.403868,144.27786799999998,144.248132,144.40370418253585,144.35024,144.29677581746418,144.36133595546113,bullish,73.7967914438484,0.05014285714285904
6,2023-07-03 00:26:00+00:00,2023-07-03 00:25:00+00:00,1,2023-07-03 00:47:00+00:00,long,144.27194877835012,144.374132,144.29194877835013,144.374132,tp1_then_tp2,8.109163042384136,604.5213696343166,4,1076163,6.0,15.194877835014609,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,10.67346540314702,5.98535637943769,False,False,False,,pivot,pivot_fallback,0.0,0.0,7.599999999999341,2023-07-03,21.0,100749.13072421505,101353.65209384936,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.326,144.374132,144.403868,144.27786799999998,144.248132,144.41635425072283,144.34635999999998,144.27636574927712,144.3390004,bearish,32.36994219652995,0.05814285714285664
7,2023-07-05 00:32:00+00:00,2023-07-05 00:30:00+00:00,2,2023-07-05 00:53:00+00:00,short,144.5327195319854,144.5127195319854,144.5127195319854,144.26576400000002,tp1_then_be_stop,3.9999975728191046,228.1243084032752,3,824001,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,6.311820865377626,3.742092862063373,False,False,False,,pivot,pivot_fallback,0.0,0.0,8.999999999997499,2023-07-05,21.0,101353.65209384936,101581.77640225264,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.52498076583478,144.46148,144.3979792341652,144.50205913599999,bullish,66.55052264808307,0.04685714285713719
8,2023-07-07 05:07:00+00:00,2023-07-07 05:03:00+00:00,4,2023-07-07 05:59:00+00:00,long,143.74054835408498,143.540548354085,143.540548354085,144.08333333333334,sl,-19.999999999998863,-1144.3860420177632,3,821329,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,0.47183550362035476,22.011948741356946,False,False,False,,pivot,pivot,0.0,0.0,26.73333333333403,2023-07-07,52.0,101581.77640225264,100437.39036023487,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,143.99667555545898,143.9074,143.818124444541,143.868,bearish,30.092592592590393,0.0631428571428602
9,2023-07-13 00:06:00+00:00,2023-07-13 00:05:00+00:00,1,2023-07-13 00:21:00+00:00,long,138.26705555020334,138.06705555020335,138.06705555020335,138.984,sl,-19.999999999998863,-1131.5559629877325,3,781153,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,1.7879644928200378,20.01665258554226,False,False,False,,pivot,pivot,0.0,0.0,77.60000000000105,2023-07-13,15.0,100437.39036023487,99305.83439724713,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.984,139.826692,140.34730800000003,138.141308,137.620692,138.47435563541595,138.37572,138.27708436458406,138.38130640000003,bearish,31.521739130431897,0.07442857142857154
11,2023-07-17 05:27:00+00:00,2023-07-17 05:25:00+00:00,2,2023-07-17 06:37:00+00:00,long,138.5675581786886,138.4475581786886,138.4475581786886,138.75666666666666,sl,-12.000000000000455,-1118.157965633484,4,1290052,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.886206344912125,12.073705360626263,False,False,False,,pivot,pivot,0.0,0.0,19.866666666666788,2023-07-17,70.0,99305.83439724713,98187.67643161365,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.6956134590555,138.62468,138.55374654094453,138.526,bullish,30.67226890755795,0.07949999999999793
10,2023-07-17 05:17:00+00:00,2023-07-17 05:16:00+00:00,1,2023-07-17 06:44:00+00:00,long,138.56339828343286,138.44339828343286,138.44339828343286,138.75666666666666,sl,-12.000000000000455,-1118.1586259756712,4,1290014,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,5.3021958704874805,12.646202367915294,False,False,False,,pivot,pivot,0.0,0.0,19.666666666665833,2023-07-17,87.0,98187.67643161365,97069.51780563798,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.68834621919785,138.63128,138.57421378080215,138.63667392804862,bearish,34.322033898301825,0.07949999999999793
12,2023-07-24 01:14:00+00:00,2023-07-24 01:12:00+00:00,2,2023-07-24 01:30:00+00:00,long,141.5952574212676,141.69899999999998,141.61525742126761,141.69899999999998,tp1_then_tp2,8.187128936619104,744.5889837479481,4,1288554,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,12.427420148205215,9.555325266725845,False,False,False,,pivot,pivot,0.0,0.0,11.099999999999,2023-07-24,16.0,97069.51780563798,97814.10678938593,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.77331757195523,141.67772000000002,141.5821224280448,141.506,bullish,31.124497991968695,0.07821428571428767
