trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-26 03:25:00+00:00,2023-06-26 03:24:00+00:00,1,2023-06-26 03:56:00+00:00,long,143.40777612279976,143.42777612279977,143.42777612279977,143.60600000000002,tp1_then_be_stop,4.021427067889433,376.87615410676995,5,1344447,6.042857142856966,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.048011519612828,3.158237362990235,False,False,False,,pivot,pivot,0.0,0.0,20.600000000001728,2023-06-26,31.0,100000.0,100376.87615410677,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.633012392709,143.51716,143.401307607291,143.44813879999998,bearish,28.08022922636694,0.12085714285713932
2,2023-06-30 00:19:00+00:00,2023-06-30 00:15:00+00:00,4,2023-06-30 00:47:00+00:00,short,144.8236560392254,144.78307310489208,144.8036560392254,144.59400000000002,tp1_then_trailing_stop,5.029146716665878,284.0575402916129,3,817702,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,11.768494647591865,2.768355483436835,False,False,False,,pivot,pivot,0.0,0.0,25.199999999998113,2023-06-30,28.0,100376.87615410677,100660.93369439838,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.83658402828425,144.76652,144.69645597171578,144.766,bullish,65.37313432836044,0.05599999999999535
3,2023-06-30 06:46:00+00:00,2023-06-30 06:43:00+00:00,3,2023-06-30 07:00:00+00:00,long,144.48830311701684,144.59400000000002,144.50830311701685,144.59400000000002,tp1_then_tp2,8.284844149159198,468.81309283991516,3,818118,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,11.187709389403722,2.2686015955798666,False,False,False,,pivot,pivot,0.0,0.0,11.300000000002797,2023-06-30,14.0,100660.93369439838,101129.7467872383,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.78973944620307,144.66884,144.5479405537969,144.538,bearish,32.943925233643,0.08007142857142924
4,2023-07-03 00:01:00+00:00,2023-07-03 00:00:00+00:00,1,2023-07-03 00:19:00+00:00,short,144.35946205514045,144.33946205514044,144.33946205514044,144.27786799999998,tp1_then_be_stop,3.9999978989417966,263.8497850524332,5,951901,6.0,17.25379448595561,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.730578251290353,4.906215195393315,False,False,False,,pivot,pivot_fallback,0.0,0.0,9.700000000000841,2023-07-03,18.0,101129.7467872383,101393.59657229073,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.326,144.374132,144.403868,144.27786799999998,144.248132,144.40370418253585,144.35024,144.29677581746418,144.36133595546113,bullish,73.7967914438484,0.05014285714285904
5,2023-07-03 00:26:00+00:00,2023-07-03 00:25:00+00:00,1,2023-07-03 00:47:00+00:00,long,144.27194877835012,144.374132,144.29194877835013,144.374132,tp1_then_tp2,8.109161082494154,608.3887869988516,4,1083048,6.0,15.194877835014609,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,10.67346540314702,5.98535637943769,False,False,False,,pivot,pivot_fallback,0.0,0.0,7.599999999999341,2023-07-03,21.0,101393.59657229073,102001.98535928958,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.326,144.374132,144.403868,144.27786799999998,144.248132,144.41635425072283,144.34635999999998,144.27636574927712,144.3390004,bearish,32.36994219652995,0.05814285714285664
6,2023-07-07 05:07:00+00:00,2023-07-07 05:03:00+00:00,4,2023-07-07 05:59:00+00:00,long,143.74054835408498,143.540548354085,143.540548354085,144.08333333333334,sl,-19.999999999998863,-1149.1205926920682,3,824727,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,0.47183550362035476,22.011948741356946,False,False,False,,pivot,pivot,0.0,0.0,26.73333333333403,2023-07-07,52.0,102001.98535928958,100852.86476659751,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,143.99667555545898,143.9074,143.818124444541,143.868,bearish,30.092592592590393,0.0631428571428602
8,2023-07-17 05:27:00+00:00,2023-07-17 05:25:00+00:00,2,2023-07-17 06:37:00+00:00,long,138.5675581786886,138.4475581786886,138.4475581786886,138.75666666666666,sl,-12.000000000000455,-1135.577124423468,4,1310149,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.886206344912125,12.073705360626263,False,False,False,,pivot,pivot,0.0,0.0,19.866666666666788,2023-07-17,70.0,100852.86476659751,99717.28764217405,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.6956134590555,138.62468,138.55374654094453,138.526,bullish,30.67226890755795,0.07949999999999793
7,2023-07-17 05:17:00+00:00,2023-07-17 05:16:00+00:00,1,2023-07-17 06:44:00+00:00,long,138.56339828343286,138.44339828343286,138.44339828343286,138.75666666666666,sl,-12.000000000000455,-1135.577441389773,4,1310110,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,5.3021958704874805,12.646202367915294,False,False,False,,pivot,pivot,0.0,0.0,19.666666666665833,2023-07-17,87.0,99717.28764217405,98581.71020078428,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.68834621919785,138.63128,138.57421378080215,138.63667392804862,bearish,34.322033898301825,0.07949999999999793
9,2023-07-24 01:14:00+00:00,2023-07-24 01:12:00+00:00,2,2023-07-24 01:30:00+00:00,long,141.5952574212676,141.69899999999998,141.61525742126761,141.69899999999998,tp1_then_tp2,8.18713060793487,756.1882907814783,4,1308627,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,12.427420148205215,9.555325266725845,False,False,False,,pivot,pivot,0.0,0.0,11.099999999999,2023-07-24,16.0,98581.71020078428,99337.89849156575,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.77331757195523,141.67772000000002,141.5821224280448,141.506,bullish,31.124497991968695,0.07821428571428767
10,2023-07-24 04:35:00+00:00,2023-07-24 04:30:00+00:00,5,2023-07-24 04:45:00+00:00,short,141.50355604067386,141.42355604067384,141.48355604067385,141.42355604067384,tp1_then_tp2,7.001785714285801,391.4396644255751,5,790686,6.00357142857147,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,9.093484318668743,2.290994052793849,False,False,False,,pivot,pivot_fallback,0.0,0.0,13.79999999999768,2023-07-24,10.0,99337.89849156575,99729.33815599133,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.53914689057248,141.43312,141.32709310942752,141.598,bearish,76.72131147540605,0.1200714285714294
11,2023-08-07 00:12:00+00:00,2023-08-07 00:10:00+00:00,2,2023-08-07 00:51:00+00:00,long,141.74386856639606,141.55833333333334,141.55833333333334,141.82386856639607,sl,-18.553523306272268,-1123.4240824478595,4,857142,6.0,18.553523306272268,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,0.0,19.40562818140279,False,False,False,,pivot,pivot_fallback,0.0,0.0,0.23333333333539485,2023-08-07,39.0,99729.33815599133,98605.91407354346,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.72233333333335,141.75442133333334,141.77424533333337,141.69024533333337,141.67042133333334,141.95432865907568,141.85464,141.7549513409243,141.867492923072,bearish,32.61455525606638,0.08050000000000068
12,2023-08-07 04:10:00+00:00,2023-08-07 04:06:00+00:00,4,2023-08-07 04:40:00+00:00,short,142.22484868588924,142.17020214041818,142.20484868588923,141.72233333333335,tp1_then_trailing_stop,5.732327069963872,530.1275756330549,5,1314769,6.0,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,10.765658346744544,1.732013277020883,False,False,False,,pivot,pivot,0.0,0.0,50.16666666666367,2023-08-07,30.0,98605.91407354346,99136.04164917652,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.72233333333335,141.75442133333334,141.77424533333337,141.69024533333337,141.67042133333334,142.2269050349046,142.02004,141.81317496509539,142.302,bearish,85.86206896551795,0.11971428571428484
13,2023-08-07 06:06:00+00:00,2023-08-07 06:05:00+00:00,1,2023-08-07 06:11:00+00:00,short,142.21470698083078,142.19470698083077,142.19470698083077,141.72233333333335,tp1_then_be_stop,3.999998486847161,371.8904776245254,4,1321743,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,6.748635772660805,2.2567863771456587,False,False,False,,pivot,pivot,0.0,0.0,53.16666666666379,2023-08-07,5.0,99136.04164917652,99507.93212680105,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.72233333333335,141.75442133333334,141.77424533333337,141.69024533333337,141.67042133333334,142.25026751952464,142.14916000000002,142.0480524804754,142.15354,bullish,67.27748691099276,0.08371428571427941
14,2023-08-11 00:10:00+00:00,2023-08-11 00:08:00+00:00,2,2023-08-11 00:26:00+00:00,short,144.87189688719246,144.85189688719245,144.85189688719245,144.26200000000003,tp1_then_be_stop,4.000000000000625,223.97000150579854,3,810894,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,7.163458913586851,2.621643872231516,False,False,False,,pivot,pivot,0.0,0.0,63.299999999998136,2023-08-11,16.0,99507.93212680105,99731.90212830686,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.26200000000003,144.85333600000004,145.21866400000002,143.67066400000002,143.30533600000004,144.88411966803335,144.80948,144.73484033196667,144.869,bullish,68.4491978609555,0.0458571428571385
