bar_index,timestamp_utc,price,bid,ask,spread_pips,session_internal,session,trigger_family,trigger_reason,direction,trigger_level_label,trigger_level_price,nearest_level_pips,overhead_level_label,underfoot_level_label,overhead_level_pips,underfoot_level_pips,m3,m1,m5,m5_atr_pips,adx_m5,adx_m15,extension_pips,extension_limit_pips,compression_range_pips,compression_cap_pips,micro_confirmation,bollinger_bandwidth,squeeze_duration_bars,breakout_level,breakout_direction,breakout_bar_atr_multiple,forward_complete,mfe_5m_pips,mae_5m_pips,net_5m_pips,mfe_10m_pips,mae_10m_pips,net_10m_pips,mfe_15m_pips,mae_15m_pips,net_15m_pips,mfe_30m_pips,mae_30m_pips,net_30m_pips,mfe_60m_pips,mae_60m_pips,net_60m_pips,strategy_a_status,strategy_a_filled,strategy_a_pnl_pips,strategy_a_outcome,strategy_a_exit_reason,strategy_a_fill_time_utc,strategy_a_exit_time_utc,strategy_a_hold_minutes,strategy_a_time_to_fill_min,hit_tp_60m,hit_sl_60m,outcome_60m,strategy_b_status,strategy_b_filled,strategy_b_pnl_pips,strategy_b_outcome,strategy_b_exit_reason,strategy_b_fill_time_utc,strategy_b_exit_time_utc,strategy_b_hold_minutes,strategy_b_time_to_fill_min,strategy_c_status,strategy_c_filled,strategy_c_pnl_pips,strategy_c_outcome,strategy_c_exit_reason,strategy_c_fill_time_utc,strategy_c_exit_time_utc,strategy_c_hold_minutes,strategy_c_time_to_fill_min,false_breakout,retest_of_breakout_level,gate_thresholds_json,expansion_followed
23260,2023-07-13T02:47:00+00:00,138.502,138.4935,138.5105,1.6999999999995907,tokyo,tokyo,compression_breakout,compression_press:HALF_YEN:138.50,sell,HALF_YEN:138.50,138.5,0.2,TOKYO_SESSION_HIGH,HALF_YEN:138.50,17.0,0.2,bear,bear,,7.34,21.22,18.51,,,6.4,6.6,compressed_range_pressing_boundary,0.0006395847788611941,1.0,138.498,sell,0.6805555555546344,True,5.6,1.4,3.9,5.6,3.4,-2.9,5.6,3.4,-0.6,5.7,3.4,5.4,10.6,3.4,6.9,win,True,8.0,win,tp,2023-07-13T02:47:00+00:00,2023-07-13T03:30:00+00:00,43.0,0.0,True,False,win,win,True,8.0,win,tp,2023-07-13T02:47:00+00:00,2023-07-13T03:30:00+00:00,43.0,0.0,win,True,8.0,win,tp,2023-07-13T02:48:00+00:00,2023-07-13T03:30:00+00:00,42.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 5.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 25.0, ""trend_extension_atr_mult"": 0.85}",False
28300,2023-07-18T15:33:00+00:00,138.824,138.8145,138.83350000000002,1.9000000000005457,london/ny,london/newyork,compression_breakout,compression_press:PDH,buy,PDH,138.85,2.6,PDH,PDL,2.6,16.8,bull,bull,bull,12.19,20.27,9.21,,,8.1,10.97,compressed_range_pressing_boundary,0.0016753374929318974,2.0,138.832,buy,0.6652267818572806,True,11.0,0.0,10.9,14.3,0.0,8.0,14.3,0.0,6.8,14.3,0.0,10.8,14.3,0.2,3.5,win,True,8.0,win,tp,2023-07-18T15:33:00+00:00,2023-07-18T15:37:00+00:00,4.0,0.0,True,False,win,win,True,8.0,win,tp,2023-07-18T15:33:00+00:00,2023-07-18T15:37:00+00:00,4.0,0.0,win,True,8.0,win,tp,2023-07-18T15:34:00+00:00,2023-07-18T15:37:00+00:00,3.0,1.0,False,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",True
33583,2023-07-24T08:13:00+00:00,141.502,141.49450000000002,141.5095,1.4999999999986358,tokyo/london,tokyo/london,compression_breakout,compression_press:TOKYO/LONDON_SESSION_HIGH,buy,TOKYO/LONDON_SESSION_HIGH,141.524,0.2,TOKYO/LONDON_SESSION_HIGH,HALF_YEN:141.50,2.2,0.2,bull,bull,bull,10.18,22.31,23.67,,,8.3,9.16,compressed_range_pressing_boundary,0.0007789137424674062,1.0,141.504,buy,1.137330754352083,True,3.9,0.4,2.2,8.6,0.4,3.8,8.6,1.8,-1.3,8.6,8.2,-4.8,8.6,32.8,-15.6,win,True,8.0,win,tp,2023-07-24T08:13:00+00:00,2023-07-24T08:21:00+00:00,8.0,0.0,True,False,win,win,True,8.0,win,tp,2023-07-24T08:13:00+00:00,2023-07-24T08:21:00+00:00,8.0,0.0,win,True,8.0,win,tp,2023-07-24T08:14:00+00:00,2023-07-24T08:21:00+00:00,7.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",False
34161,2023-07-24T17:51:00+00:00,141.448,141.4395,141.4565,1.6999999999995907,ny,newyork,compression_breakout,compression_press:NY_SESSION_HIGH,buy,NY_SESSION_HIGH,141.482,3.4,NY_SESSION_HIGH,WHOLE_YEN:141.00,3.4,44.8,bull,bull,bull,4.51,19.05,17.2,,,3.7,4.06,compressed_range_pressing_boundary,0.0005285479085649761,1.0,141.451,buy,0.49704142011832925,True,1.6,0.4,0.0,4.4,0.4,4.4,5.2,0.4,2.9,6.7,0.4,5.7,7.6,0.4,4.8,scratch,True,4.8,scratch,timeout,2023-07-24T17:51:00+00:00,2023-07-24T18:51:00+00:00,60.0,0.0,False,False,scratch,scratch,True,4.8,scratch,timeout,2023-07-24T17:51:00+00:00,2023-07-24T18:51:00+00:00,60.0,0.0,scratch,True,4.5,scratch,timeout,2023-07-24T17:52:00+00:00,2023-07-24T18:51:00+00:00,59.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 7.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.5, ""trend_adx_min"": 24.0, ""trend_extension_atr_mult"": 1.1}",False
36926,2023-07-26T16:15:00+00:00,140.462,140.4545,140.46949999999998,1.4999999999986358,ny,newyork,compression_breakout,compression_press:HALF_YEN:140.50,buy,HALF_YEN:140.50,140.5,3.8,HALF_YEN:140.50,NY_SESSION_LOW,3.8,30.2,bull,bull,bull,4.46,19.87,13.77,,,3.7,4.02,compressed_range_pressing_boundary,0.0003117801341038856,9.0,140.462,buy,1.6279069767427332,True,1.0,2.6,-1.0,4.2,2.6,4.0,6.2,2.6,6.0,13.8,2.6,13.6,23.4,2.6,21.2,win,True,8.0,win,tp,2023-07-26T16:15:00+00:00,2023-07-26T16:32:00+00:00,17.0,0.0,True,False,win,win,True,8.0,win,tp,2023-07-26T16:15:00+00:00,2023-07-26T16:32:00+00:00,17.0,0.0,win,True,8.0,win,tp,2023-07-26T16:16:00+00:00,2023-07-26T16:32:00+00:00,16.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 7.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.5, ""trend_adx_min"": 24.0, ""trend_extension_atr_mult"": 1.1}",False
51444,2023-08-09T20:14:00+00:00,143.712,143.702,143.72199999999998,2.000000000001023,ny,newyork,compression_breakout,compression_press:NY_SESSION_HIGH,buy,NY_SESSION_HIGH,143.75,3.8,NY_SESSION_HIGH,HALF_YEN:143.50,3.8,21.2,bull,bull,bull,3.68,21.03,19.64,,,3.2,3.31,compressed_range_pressing_boundary,0.0002649859222031002,2.0,143.714,buy,0.7000000000006218,True,0.2,0.8,-0.4,0.2,2.6,-2.5,0.2,2.8,-1.3,0.2,3.7,-2.4,3.6,3.7,-0.7,scratch,True,-0.7,scratch,timeout,2023-08-09T20:14:00+00:00,2023-08-09T21:14:00+00:00,60.0,0.0,False,False,scratch,scratch,True,-0.7,scratch,timeout,2023-08-09T20:14:00+00:00,2023-08-09T21:14:00+00:00,60.0,0.0,scratch,True,-0.9,scratch,timeout,2023-08-09T20:15:00+00:00,2023-08-09T21:14:00+00:00,59.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 7.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.5, ""trend_adx_min"": 24.0, ""trend_extension_atr_mult"": 1.1}",False
52655,2023-08-10T16:52:00+00:00,144.459,144.449,144.469,1.999999999998181,ny,newyork,compression_breakout,compression_press:NY_SESSION_HIGH,buy,NY_SESSION_HIGH,144.49,3.1,NY_SESSION_HIGH,WHOLE_YEN:144.00,3.1,45.9,bull,bull,bull,3.89,15.67,23.11,,,3.5,3.5,compressed_range_pressing_boundary,0.0004004277749366948,1.0,144.46,buy,0.923076923076875,True,0.3,2.3,-1.1,0.7,3.1,-0.5,2.8,3.1,0.2,4.5,3.1,3.9,23.8,3.1,16.3,win,True,8.0,win,tp,2023-08-10T16:52:00+00:00,2023-08-10T17:27:00+00:00,35.0,0.0,True,False,win,win,True,8.0,win,tp,2023-08-10T16:52:00+00:00,2023-08-10T17:27:00+00:00,35.0,0.0,win,True,8.0,win,tp,2023-08-10T16:53:00+00:00,2023-08-10T17:27:00+00:00,34.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 7.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.5, ""trend_adx_min"": 24.0, ""trend_extension_atr_mult"": 1.1}",False
53156,2023-08-11T01:18:00+00:00,144.768,144.7585,144.7775,1.9000000000005457,tokyo,tokyo,compression_breakout,compression_press:TOKYO_SESSION_LOW,sell,TOKYO_SESSION_LOW,144.745,2.3,TODAY_HIGH,TOKYO_SESSION_LOW,11.6,2.3,bear,bear,bear,5.17,18.78,23.35,,,4.2,4.65,compressed_range_pressing_boundary,0.00042803194268345234,2.0,144.767,sell,1.1999999999994895,True,0.0,2.3,-2.2,1.8,2.6,1.2,6.4,2.6,4.2,13.5,2.6,12.8,13.5,2.6,4.0,win,True,8.0,win,tp,2023-08-11T01:18:00+00:00,2023-08-11T01:40:00+00:00,22.0,0.0,True,False,win,win,True,8.0,win,tp,2023-08-11T01:18:00+00:00,2023-08-11T01:40:00+00:00,22.0,0.0,win,True,8.0,win,tp,2023-08-11T01:26:00+00:00,2023-08-11T01:40:00+00:00,14.0,8.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 5.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 25.0, ""trend_extension_atr_mult"": 0.85}",False
54122,2023-08-11T17:24:00+00:00,144.934,144.9245,144.9435,1.9000000000005457,ny,newyork,compression_breakout,compression_press:NY_SESSION_HIGH,buy,NY_SESSION_HIGH,144.97,3.6,NY_SESSION_HIGH,TODAY_HIGH,3.6,5.0,bull,bull,bull,4.23,19.32,16.67,,,3.6,3.81,compressed_range_pressing_boundary,0.00029518824701625803,1.0,144.938,buy,1.410071942446661,True,1.0,3.6,-1.8,1.0,4.2,-2.2,1.0,4.2,0.0,7.0,4.2,4.2,7.0,4.2,3.8,scratch,True,3.8,scratch,timeout,2023-08-11T17:24:00+00:00,2023-08-11T18:24:00+00:00,60.0,0.0,False,False,scratch,scratch,True,3.8,scratch,timeout,2023-08-11T17:24:00+00:00,2023-08-11T18:24:00+00:00,60.0,0.0,scratch,True,3.4,scratch,timeout,2023-08-11T17:25:00+00:00,2023-08-11T18:24:00+00:00,59.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 7.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.5, ""trend_adx_min"": 24.0, ""trend_extension_atr_mult"": 1.1}",False
64973,2023-08-23T08:10:00+00:00,145.365,145.35500000000002,145.375,2.000000000001023,tokyo/london,tokyo/london,compression_breakout,compression_press:LOCAL_RANGE_LOW,sell,LOCAL_RANGE_LOW,145.354,1.1,TODAY_LOW,LOCAL_RANGE_LOW,13.1,1.1,bear,bear,bear,9.77,23.21,18.06,,,8.7,8.79,compressed_range_pressing_boundary,0.0006413682559453025,3.0,145.349,sell,1.0043478260874716,True,4.9,2.9,3.5,4.9,2.9,-0.5,4.9,6.2,-5.1,10.2,6.2,6.7,10.2,6.2,3.7,win,True,8.0,win,tp,2023-08-23T08:10:00+00:00,2023-08-23T08:36:00+00:00,26.0,0.0,True,False,win,win,True,8.0,win,tp,2023-08-23T08:10:00+00:00,2023-08-23T08:36:00+00:00,26.0,0.0,win,True,8.0,win,tp,2023-08-23T08:13:00+00:00,2023-08-23T08:36:00+00:00,23.0,3.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",False
67852,2023-08-25T08:33:00+00:00,146.069,146.06,146.07799999999997,1.8000000000000682,tokyo/london,tokyo/london,compression_breakout,compression_press:TODAY_HIGH,buy,TODAY_HIGH,146.077,0.8,TODAY_HIGH,WHOLE_YEN:146.00,0.8,6.9,bull,bull,bull,5.84,22.09,18.98,,,4.4,5.25,compressed_range_pressing_boundary,0.00029350863100381213,13.0,146.076,buy,0.9767441860467267,True,0.5,3.8,-1.1,1.1,3.8,-0.9,1.1,5.7,-5.3,1.1,8.3,-3.9,1.1,8.3,-4.7,scratch,True,-4.7,scratch,timeout,2023-08-25T08:33:00+00:00,2023-08-25T09:33:00+00:00,60.0,0.0,False,False,scratch,scratch,True,-4.7,scratch,timeout,2023-08-25T08:33:00+00:00,2023-08-25T09:33:00+00:00,60.0,0.0,scratch,True,-5.4,scratch,timeout,2023-08-25T08:40:00+00:00,2023-08-25T09:33:00+00:00,53.0,7.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",False
68237,2023-08-25T14:58:00+00:00,146.608,146.6,146.616,1.6000000000019554,london/ny,london/newyork,compression_breakout,compression_press:LONDON/NY_SESSION_HIGH,buy,LONDON/NY_SESSION_HIGH,146.636,2.8,LONDON/NY_SESSION_HIGH,HALF_YEN:146.50,2.8,10.8,bull,bull,bull,19.77,23.75,18.98,,,14.0,17.79,compressed_range_pressing_boundary,0.0017115016732732525,3.0,146.612,buy,0.6170212765962308,True,0.0,8.8,-4.1,0.0,19.0,-18.4,0.0,19.5,-14.2,0.0,39.6,-32.4,0.0,39.6,-24.9,loss,True,-12.0,loss,sl,2023-08-25T14:58:00+00:00,2023-08-25T15:05:00+00:00,7.0,0.0,False,True,loss,loss,True,-12.0,loss,sl,2023-08-25T14:58:00+00:00,2023-08-25T15:05:00+00:00,7.0,0.0,no_fill,False,,,,,,,,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",False
73836,2023-08-31T13:22:00+00:00,146.086,146.0765,146.09550000000002,1.9000000000005457,london/ny,london/newyork,compression_breakout,compression_press:LOCAL_RANGE_HIGH,buy,LOCAL_RANGE_HIGH,146.105,1.9,LOCAL_RANGE_HIGH,WHOLE_YEN:146.00,1.9,8.6,bull,bull,bull,14.05,18.84,14.03,,,12.4,12.65,compressed_range_pressing_boundary,0.0011963485367142669,6.0,146.11,buy,1.2841726618709488,True,6.4,4.2,1.8,6.4,4.8,-0.2,6.6,5.0,1.9,12.6,5.0,9.8,14.3,6.8,-2.6,win,True,8.0,win,tp,2023-08-31T13:22:00+00:00,2023-08-31T13:42:00+00:00,20.0,0.0,True,False,win,win,True,8.0,win,tp,2023-08-31T13:22:00+00:00,2023-08-31T13:42:00+00:00,20.0,0.0,win,True,8.0,win,tp,2023-08-31T13:26:00+00:00,2023-08-31T13:42:00+00:00,16.0,4.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",True
88784,2023-09-15T01:58:00+00:00,147.376,147.36849999999998,147.38350000000003,1.500000000001478,tokyo,tokyo,compression_breakout,compression_press:TOKYO_SESSION_LOW,sell,TOKYO_SESSION_LOW,147.336,0.2,PWH,TOKYO_SESSION_LOW,0.2,4.0,bear,bear,bear,4.7,15.75,14.55,,,2.3,4.23,compressed_range_pressing_boundary,0.00023521927830811226,4.0,147.375,sell,1.0,True,3.0,2.2,-0.4,3.0,2.4,-2.0,3.0,7.3,-7.0,3.0,8.8,-3.5,3.0,12.6,-12.1,loss,True,-12.0,loss,sl,2023-09-15T01:58:00+00:00,2023-09-15T02:57:00+00:00,59.0,0.0,False,True,loss,loss,True,-12.0,loss,sl,2023-09-15T01:58:00+00:00,2023-09-15T02:57:00+00:00,59.0,0.0,loss,True,-12.0,loss,sl,2023-09-15T02:02:00+00:00,2023-09-15T02:57:00+00:00,55.0,4.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 5.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 25.0, ""trend_extension_atr_mult"": 0.85}",False
91676,2023-09-19T02:48:00+00:00,147.752,147.7435,147.7605,1.6999999999995907,tokyo,tokyo,compression_breakout,compression_press:TOKYO_SESSION_HIGH,buy,TOKYO_SESSION_HIGH,147.776,2.4,TOKYO_SESSION_HIGH,PDL,2.4,4.3,bull,bull,bull,3.06,16.78,17.34,,,2.2,2.76,compressed_range_pressing_boundary,0.0003321667526082433,2.0,147.756,buy,1.248407643312683,True,0.2,2.8,-2.4,0.2,3.4,-2.7,0.2,3.4,-1.4,2.3,3.4,-1.4,2.6,3.4,0.7,scratch,True,0.7,scratch,timeout,2023-09-19T02:48:00+00:00,2023-09-19T03:48:00+00:00,60.0,0.0,False,False,scratch,scratch,True,0.7,scratch,timeout,2023-09-19T02:48:00+00:00,2023-09-19T03:48:00+00:00,60.0,0.0,no_fill,False,,,,,,,,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 5.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 25.0, ""trend_extension_atr_mult"": 0.85}",False
96590,2023-09-22T13:24:00+00:00,148.27,148.2615,148.2785,1.6999999999995907,london/ny,london/newyork,compression_breakout,compression_press:LONDON/NY_SESSION_HIGH,buy,LONDON/NY_SESSION_HIGH,148.295,2.5,LONDON/NY_SESSION_HIGH,LONDON/NY_SESSION_LOW,2.5,9.8,bull,bull,bull,4.45,10.98,22.25,,,3.7,4.01,compressed_range_pressing_boundary,0.00022438101966026086,1.0,148.277,buy,0.7338709677406544,True,4.1,1.1,4.1,8.6,1.1,8.2,8.6,1.1,6.2,8.6,9.0,-3.8,8.6,14.2,-9.0,win,True,8.0,win,tp,2023-09-22T13:24:00+00:00,2023-09-22T13:34:00+00:00,10.0,0.0,True,False,win,win,True,8.0,win,tp,2023-09-22T13:24:00+00:00,2023-09-22T13:34:00+00:00,10.0,0.0,loss,True,-12.0,loss,sl,2023-09-22T13:25:00+00:00,2023-09-22T14:02:00+00:00,37.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 6.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 23.0, ""trend_extension_atr_mult"": 1.0}",False
102997,2023-09-29T01:42:00+00:00,149.33,149.322,149.33800000000002,1.5999999999991132,tokyo,tokyo,compression_breakout,compression_press:TOKYO_SESSION_LOW,sell,TOKYO_SESSION_LOW,149.306,2.4,TOKYO_SESSION_HIGH,TOKYO_SESSION_LOW,12.2,2.4,bear,bear,bear,4.36,14.77,19.2,,,3.0,3.92,compressed_range_pressing_boundary,0.00018595964356545524,4.0,149.324,sell,1.2655367231629908,True,3.0,0.0,2.2,3.0,0.2,0.6,4.0,0.2,1.4,4.9,0.6,0.8,4.9,6.0,-5.7,scratch,True,-5.7,scratch,timeout,2023-09-29T01:42:00+00:00,2023-09-29T02:42:00+00:00,60.0,0.0,False,False,scratch,scratch,True,-5.7,scratch,timeout,2023-09-29T01:42:00+00:00,2023-09-29T02:42:00+00:00,60.0,0.0,scratch,True,-6.3,scratch,timeout,2023-09-29T01:43:00+00:00,2023-09-29T02:42:00+00:00,59.0,1.0,True,True,"{""compression_adx_ceiling"": 24.0, ""compression_adx_floor"": 14.0, ""compression_edge_fraction"": 0.2, ""compression_level_max_pips"": 4.0, ""compression_range_atr_mult"": 0.9, ""compression_window_bars"": 12, ""critical_level_max_pips"": 5.0, ""critical_micro_window_bars"": 3, ""critical_touch_tolerance_pips"": 0.8, ""description"": ""Hybrid trigger: critical-level reaction, compression breakout, or trend expansion for ripe-now USDJPY setups."", ""expected_pass_rate_pct"": 3.5, ""require_m1_stack"": true, ""require_m3_trend"": true, ""require_min_m5_atr_pips"": 3.0, ""trend_adx_min"": 25.0, ""trend_extension_atr_mult"": 0.85}",False
