trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 19:26:00+00:00,2023-06-27 22:00:00+00:00,49960.61154862023,0.0,0.0
2,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,49976.76094418671,0.0,0.0
3,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,49921.56233598482,55.19860820189206,0.11044855080451699
4,2023-06-29 18:27:00+00:00,2023-06-29 22:00:00+00:00,49991.29670982028,0.0,0.0
5,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,50052.532226162555,0.0,0.0
6,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,50092.76652904268,0.0,0.0
7,2023-07-06 19:41:00+00:00,2023-07-06 22:00:00+00:00,50058.54338748555,34.223141557129566,0.06831952780505293
8,2023-07-11 16:54:00+00:00,2023-07-11 19:21:00+00:00,50109.306386188124,0.0,0.0
9,2023-07-11 17:06:00+00:00,2023-07-11 19:59:00+00:00,50172.97529043284,0.0,0.0
10,2023-07-13 18:36:00+00:00,2023-07-13 18:43:00+00:00,50213.27804156495,0.0,0.0
11,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,50253.64211470519,0.0,0.0
12,2023-07-19 19:33:00+00:00,2023-07-19 21:05:00+00:00,50294.03857892057,0.0,0.0
13,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,50407.23977847696,0.0,0.0
14,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,50447.731068100904,0.0,0.0
15,2023-07-26 18:01:00+00:00,2023-07-26 18:16:00+00:00,50536.17302723182,0.0,0.0
16,2023-08-01 17:43:00+00:00,2023-08-01 18:08:00+00:00,50613.662581843266,0.0,0.0
17,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,50654.31952679126,0.0,0.0
18,2023-08-08 16:56:00+00:00,2023-08-08 17:14:00+00:00,50773.423830621294,0.0,0.0
19,2023-08-10 17:44:00+00:00,2023-08-10 17:48:00+00:00,50887.70322292045,0.0,0.0
20,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,50928.608754709756,0.0,0.0
21,2023-08-16 17:13:00+00:00,2023-08-16 18:07:00+00:00,50642.68463741472,285.9241172950351,0.5614214177185697
22,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,50763.45258938834,165.15616532141576,0.32428956800462866
23,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,50670.70879682055,257.8999578892035,0.5063950580926748
24,2023-08-25 20:31:00+00:00,2023-08-27 21:03:00+00:00,50657.452671323415,271.15608338634047,0.5324238969344801
25,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,50729.488585083534,199.12016962622147,0.39097900864571977
26,2023-09-05 17:23:00+00:00,2023-09-05 17:57:00+00:00,50444.32912380454,484.2796309052137,0.9508989991022063
27,2023-09-05 17:33:00+00:00,2023-09-05 22:00:00+00:00,50538.516519061304,390.0922356484516,0.7659589476069809
28,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,51182.26143511688,0.0,0.0
29,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,51603.04296848675,0.0,0.0
30,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,51666.30554596544,0.0,0.0
31,2023-09-15 19:11:00+00:00,2023-09-17 21:03:00+00:00,51829.656249089,0.0,0.0
32,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,52077.105511885966,0.0,0.0
33,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,52144.40481990782,0.0,0.0
34,2023-09-22 17:46:00+00:00,2023-09-24 21:03:00+00:00,52137.758650502,6.646169405816181,0.012745700001314024
35,2023-10-06 17:11:00+00:00,2023-10-06 17:17:00+00:00,52185.530361525714,0.0,0.0
36,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,52179.51945244695,6.010909078766417,0.0115183443324704
37,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,52224.87131029512,0.0,0.0
38,2023-10-31 20:29:00+00:00,2023-10-31 20:54:00+00:00,51931.30082098792,293.5704893072034,0.5621277409434835
39,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,52048.8453312422,176.0259790529235,0.33705392591024613
40,2023-11-02 17:40:00+00:00,2023-11-02 18:44:00+00:00,52090.65622015131,134.21509014381445,0.25699458280399157
41,2023-11-02 21:18:00+00:00,2023-11-02 22:00:00+00:00,52069.72425475522,155.14705553989916,0.2970750365627323
42,2023-11-07 17:32:00+00:00,2023-11-07 18:33:00+00:00,52280.71013509588,0.0,0.0
43,2023-11-08 17:39:00+00:00,2023-11-08 22:03:00+00:00,52173.6541071664,107.0560279294732,0.2047715642209818
44,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,52296.8327945781,0.0,0.0
45,2023-11-09 17:48:00+00:00,2023-11-09 19:06:00+00:00,52003.14095728543,293.6918372926666,0.5615862789364087
46,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,52074.21321305994,222.61958151815634,0.4256846344645876
47,2023-11-17 18:18:00+00:00,2023-11-17 19:19:00+00:00,51781.10057847974,515.7322160983604,0.9861633841654541
48,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,51898.22807936549,398.6047152126048,0.7621966645252183
49,2023-11-30 17:36:00+00:00,2023-11-30 22:03:00+00:00,51735.754327505834,561.0784670722642,1.0728727479084246
50,2023-11-30 20:18:00+00:00,2023-11-30 22:03:00+00:00,51795.20522837512,501.62756620298023,0.9591930130326874
51,2023-12-06 19:50:00+00:00,2023-12-06 22:03:00+00:00,51889.17681066561,407.6559839124893,0.7795041537482041
52,2023-12-06 19:28:00+00:00,2023-12-06 22:03:00+00:00,51951.113028451655,345.7197661264436,0.6610720910851914
53,2023-12-21 19:43:00+00:00,2023-12-21 20:08:00+00:00,52069.89055832323,226.94223625486484,0.4339502492364952
54,2024-01-03 17:50:00+00:00,2024-01-03 18:58:00+00:00,52309.42508430223,0.0,0.0
55,2024-01-04 21:31:00+00:00,2024-01-04 22:03:00+00:00,52381.20925618277,0.0,0.0
