trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100034.70764019291,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99844.28750412914,190.42013606376713,0.19035406865852456
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100055.51292320386,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100193.82598989441,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100444.87285192817,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100588.94587037538,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100839.59384780565,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100980.68881740728,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,101122.47497058308,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101493.92538599164,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101634.93082737943,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101772.9270551533,0.0,0.0
13,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101919.07136768526,0.0,0.0
14,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,101608.40103670194,310.6703309833247,0.3048206060105711
15,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101781.09995427275,137.97141341250972,0.13537349934710582
16,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,102589.59092743306,0.0,0.0
17,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,103450.63838751738,0.0,0.0
18,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,103657.58713815101,0.0,0.0
19,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,103953.662660424,0.0,0.0
20,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,104088.92895087738,0.0,0.0
21,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,104236.58144402332,0.0,0.0
22,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,104219.89068703074,16.690756992582465,0.016012379494185217
23,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,104326.71153178337,0.0,0.0
