trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,98875.90990520825,0.0,0.0
2,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,99098.30707341785,0.0,0.0
3,2025-10-21 16:49:00+00:00,2025-10-21 17:05:00+00:00,99544.77006763371,0.0,0.0
4,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,99818.3938832064,0.0,0.0
5,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,100192.58945130394,0.0,0.0
6,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100772.17613337855,0.0,0.0
7,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,101353.05365673697,0.0,0.0
8,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,102787.8187956587,0.0,0.0
9,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,103019.16524800034,0.0,0.0
10,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,103569.45241680036,0.0,0.0
11,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,103882.27398541437,0.0,0.0
12,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,104407.70499287313,0.0,0.0
13,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,103401.93992007473,1005.7650727984001,0.9633054120546501
14,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,103634.52063098151,773.1843618916173,0.7405433937508682
15,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,103516.9502959393,890.7546969338291,0.8531503465138248
16,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,103771.53512827304,636.1698646000877,0.6093131389522571
