trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-05-20 18:14:00+00:00,2025-05-20 18:13:00+00:00,1,2025-05-20 22:00:00+00:00,long,144.60302599610839,144.4787458756917,144.4030259961084,145.00733333333332,session_close,-12.428012041669945,-699.6761413809277,5,813391,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,1.904473965072384,18.0751300533899,False,False,False,,pivot,pivot,0.0,0.0,42.9333333333318,2025-05-21,226.0,100000.0,99300.32385861907,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,144.93604702481935,144.75616,144.57627297518064,144.67821320064002,bearish,24.812030075188872,0.10985714285713957
2,2025-05-23 17:48:00+00:00,2025-05-23 17:46:00+00:00,2,2025-05-23 18:03:00+00:00,long,142.5465328514815,142.5665328514815,142.5665328514815,143.76366666666664,tp1_then_be_stop,4.266068582509819,238.1956531753986,4,796213,6.532142857142784,20.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.958843361135791,2.807953821661613,False,False,False,,pivot,pivot,0.0,0.0,121.56666666666354,2025-05-24,15.0,99300.32385861907,99538.51951179447,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.75658310678537,142.65688,142.55717689321463,142.528,bullish,30.94339622641428,0.13064285714285567
3,2025-05-23 18:26:00+00:00,2025-05-23 18:24:00+00:00,2,2025-05-23 20:59:00+00:00,long,142.52074379235535,142.55019219616975,142.54074379235536,143.76366666666664,tp1_then_time_decay,4.472418276409283,250.32466437299587,5,797979,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,6.144074568365454,6.834569536940194,False,False,False,,pivot,pivot,0.0,0.0,125.96666666666465,2025-05-24,153.0,99538.51951179447,99788.84417616746,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.76216152169462,142.61787999999999,142.47359847830535,142.422,bullish,27.621483375955492,0.11892857142856883
4,2025-05-30 16:44:00+00:00,2025-05-30 16:43:00+00:00,1,2025-05-30 17:20:00+00:00,long,143.99161406128982,143.79161406128983,143.79161406128983,144.79599999999996,sl,-19.999999999998863,-1124.1851693179387,3,808242,9.321428571428621,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,0.0743711533715441,20.682511993530284,False,False,False,,pivot,pivot,0.0,0.0,84.49999999999704,2025-05-31,36.0,99788.84417616746,98664.65900684953,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.79599999999996,145.68529599999997,146.23470399999997,143.90670399999996,143.35729599999996,144.35968229871415,144.15308000000002,143.9464777012859,144.04044,bearish,33.39960238568432,0.18642857142857241
5,2025-06-03 20:02:00+00:00,2025-06-03 20:01:00+00:00,1,2025-06-03 20:50:00+00:00,short,144.05371913650052,144.01156359226158,144.0337191365005,143.06866666666667,tp1_then_trailing_stop,5.107776095944504,283.579114505672,5,799481,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.415554423895856,1.9522187249350509,False,False,False,,pivot,pivot,0.0,0.0,101.03333333333353,2025-06-04,48.0,98664.65900684953,98948.2381213552,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.06866666666667,143.62256666666667,143.9647666666667,142.51476666666667,142.17256666666665,144.08014433154574,143.94191999999998,143.80369566845422,144.109,bearish,80.31496062992724,0.07478571428571204
6,2025-06-06 20:54:00+00:00,2025-06-06 20:52:00+00:00,2,2025-06-08 21:04:00+00:00,short,144.8593845770608,144.8985593548927,144.9793845770608,143.35066666666665,session_close,-3.917477783190293,-363.3022287530033,4,1343772,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.18030978957028765,3.917477783190293,False,False,False,,pivot,pivot,0.0,0.0,152.13333333333594,2025-06-07,2890.0,98948.2381213552,98584.9358926022,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.35066666666665,143.90342066666665,144.24491266666666,142.79791266666666,142.45642066666665,144.86847680065802,144.81948,144.77048319934198,144.8722137031072,bearish,65.86826347306143,0.06514285714285352
7,2025-06-17 17:11:00+00:00,2025-06-17 17:10:00+00:00,1,2025-06-17 17:36:00+00:00,short,145.2186252637286,145.1986252637286,145.1986252637286,144.418,tp1_then_be_stop,4.358925642156441,241.81359846504228,4,805295,6.717857142857245,20.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,8.16606797580448,6.4606315442517825,False,False,False,,pivot,pivot,0.0,0.0,83.29999999999984,2025-06-18,25.0,98584.9358926022,98826.74949106724,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.24315590181192,145.07039999999998,144.89764409818804,145.173166732272,bullish,69.15077989601613,0.1343571428571449
8,2025-06-17 18:51:00+00:00,2025-06-17 18:48:00+00:00,3,2025-06-17 20:03:00+00:00,short,145.3239514369258,145.2771832861744,145.3039514369258,144.418,tp1_then_trailing_stop,5.338407537570332,296.8728619904796,5,807856,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,10.976464294361676,6.520210445614794,False,False,False,,pivot,pivot,0.0,0.0,92.59999999999877,2025-06-18,72.0,98826.74949106724,99123.62235305773,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.33284171878552,145.22019999999998,145.10755828121444,145.220112,bullish,70.49808429117903,0.11228571428571651
9,2025-06-17 19:04:00+00:00,2025-06-17 19:03:00+00:00,1,2025-06-17 20:03:00+00:00,short,145.31004239681377,145.2771832861744,145.29004239681376,144.418,tp1_then_trailing_stop,4.642955531969051,258.19127712598095,5,807778,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,9.585560283159111,7.911114456817359,False,False,False,,pivot,pivot,0.0,0.0,92.79999999999973,2025-06-18,59.0,99123.62235305773,99381.81363018371,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.36169736566916,145.24676,145.13182263433083,145.378,bearish,71.30177514792481,0.1132857142857152
10,2025-06-20 18:56:00+00:00,2025-06-20 18:54:00+00:00,2,2025-06-20 19:52:00+00:00,short,145.96560052511123,146.16560052511122,146.16560052511122,145.32966666666667,sl,-19.999999999998863,-1116.5144152502126,5,815980,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,0.0,20.32336792907188,False,False,False,,pivot,pivot,0.0,0.0,64.83333333333405,2025-06-21,56.0,99381.81363018371,98265.29921493349,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.32966666666667,145.72465466666665,145.96867866666668,144.93467866666668,144.69065466666666,145.98243259053527,145.87876,145.77508740946473,145.996,bearish,70.06578947368172,0.06749999999999952
