trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
1,LMP,2025-06-26,Thursday,short,2025-06-26 09:23:00+00:00,2025-06-26 10:06:00+00:00,144.01769936032866,144.13769936032867,144.13769936032867,143.786,143.462168,12.0,-12.000000000000455,-749.3667547029856,SL_FULL,,52.40000000000009,15.930063967132924,11.569936032867645,900100,43,9
2,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.04415646019691,934.4772232592011,TP1_ONLY,50.19999999999811,,3.5216721956260244,64.07832780437559,266700,282,7
3,ARB,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,379.68066024856194,HARD_CLOSE,56.800000000001205,,19.158340070029567,27.641659929969364,270400,269,7
4,LMP,2025-07-03,Thursday,long,2025-07-03 08:46:00+00:00,2025-07-03 12:00:00+00:00,143.81679678052186,143.8560245576335,143.69679678052185,143.916,144.065556,12.0,3.9227777111648265,246.48246634268153,HARD_CLOSE,,24.199999999999022,7.879678052185568,7.920321947813136,903900,194,8
5,LMP,2025-07-08,Tuesday,short,2025-07-08 09:26:00+00:00,2025-07-08 09:51:00+00:00,146.11796322767916,146.23796322767916,146.23796322767916,145.996,145.81554400000002,12.0,-12.000000000000455,-755.4262761989469,SL_FULL,,29.20000000000016,12.503677232083987,5.99632276791624,920600,25,9
6,ARB,2025-07-09,Wednesday,short,2025-07-09 08:42:00+00:00,2025-07-09 12:00:00+00:00,146.63623719146022,146.7749754423665,147.03623719146023,146.23623719146022,145.8362371914602,40.0,-13.873825090627179,-259.94226116703476,HARD_CLOSE,45.40000000000077,,14.576280853978574,9.723719146023768,275000,198,8
7,LMP,2025-07-10,Thursday,long,2025-07-10 09:16:00+00:00,2025-07-10 09:43:00+00:00,146.30031809653957,146.18031809653957,146.18031809653957,146.466,146.7132,12.0,-12.000000000000455,-749.0748510185126,SL_FULL,,40.00000000000057,11.631809653957248,2.36819034604423,912500,27,9
8,LMP,2025-07-16,Wednesday,long,2025-07-16 08:44:00+00:00,2025-07-16 09:32:00+00:00,148.8477783777511,148.7277783777511,148.7277783777511,148.93,149.12158,12.0,-12.000000000000455,-743.4253453257028,SL_FULL,,31.000000000000227,12.477837775108469,4.122162224891213,921400,48,8
9,LMP,2025-07-22,Tuesday,short,2025-07-22 08:39:00+00:00,2025-07-22 10:04:00+00:00,147.6362534758802,147.40958800000004,147.62625347588022,147.616,147.40958800000004,14.174652411981015,12.347291591143598,643.1330632607742,TP2_FULL,,33.399999999997476,4.874652411979241,23.725347588020895,767900,85,8
10,LMP,2025-07-23,Wednesday,short,2025-07-23 09:10:00+00:00,2025-07-23 10:10:00+00:00,146.71559119141878,146.41939800000003,146.7055911914188,146.598,146.41939800000003,13.140880858122728,20.690297005484915,1170.335171638231,TP2_FULL,,28.899999999998727,5.940880858122455,30.3591191418775,828500,60,9
11,ARB,2025-07-24,Thursday,long,2025-07-24 09:01:00+00:00,2025-07-24 12:00:00+00:00,146.57543187467388,146.4740245576335,146.17543187467388,146.9754318746739,147.3754318746739,40.0,-10.14073170403833,-190.45802149604137,HARD_CLOSE,63.79999999999768,,10.843187467386883,8.45681253261148,275100,179,9
12,LMP,2025-07-29,Tuesday,short,2025-07-29 08:33:00+00:00,2025-07-29 08:55:00+00:00,148.42725252047572,148.54725252047572,148.54725252047572,148.356,148.11127199999999,12.0,-12.000000000000455,-748.771842714981,SL_FULL,,39.6000000000015,11.874747952427356,0.5252520475721667,926900,22,8
13,LMP,2025-07-30,Wednesday,long,2025-07-30 09:31:00+00:00,2025-07-30 11:38:00+00:00,148.02985269184032,148.315288,148.0398526918403,148.12,148.315288,12.0,18.780195055750884,1162.1378375277156,TP2_FULL,,31.60000000000025,6.085269184032427,29.614730815967505,917500,127,9
15,LMP,2025-08-06,Wednesday,long,2025-08-06 10:22:00+00:00,2025-08-06 10:53:00+00:00,147.67524135673645,147.55524135673645,147.55524135673645,147.794,147.955916,12.0,-12.000000000000455,-753.1552181960537,SL_FULL,,26.200000000000045,11.524135673644764,8.075864326355031,926100,31,10
14,ARB,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-754.4316676539735,SL_FULL,44.599999999999795,,39.77415751253659,3.7258424874636376,278100,175,8
16,LMP,2025-08-07,Thursday,long,2025-08-07 08:49:00+00:00,2025-08-07 11:41:00+00:00,147.12882775877142,147.486056,147.1388277587714,147.182,147.486056,12.0,20.52002412285674,1264.7696891740984,TP2_FULL,,49.19999999999902,1.5827758771422396,36.71722412285874,908800,172,8
17,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133998,685.5943876623361,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,277000,286,7
