trade_id,entry_datetime,exit_datetime,direction,entry_type,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,breakout_candle_body_pct,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,partial_close_executed,structural_stop_triggered,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
1,2025-06-27 02:05:00+00:00,2025-06-27 02:10:00+00:00,short,1,144.20488556441018,144.2848855644102,144.2848855644102,144.15488556441016,144.08350000000002,SL_Hit_PipBased,-8.00000000000125,-277.22931507021826,-277.22931507021826,500000,IB_Low,1,144.52,30.800000000002115,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Active_Trading,43.01948051948031,144.61054232804233,0.8571428571427991,0.17635968217177833,9.225546867810408,1.0,5.0,Friday,2,n,n,5.0,False,2025-06,Friday,99722.77068492978,0.0,0.0
2,2025-06-27 03:40:00+00:00,2025-06-27 03:51:00+00:00,short,1,144.38882034721732,144.46882034721733,144.46882034721733,144.229,144.08350000000002,SL_Hit_PipBased,-8.00000000000125,-276.8763523082004,-276.8763523082004,500000,IB_Low,1,144.52,12.400000000002365,"VWAP_support,RSI_momentum",2,wide,Afternoon_Trading,31.57276995305091,144.48636500754148,0.9433962264148211,2.0520315876325412,9.849881346801226,8.0,11.0,Friday,3,n,n,11.0,False,2025-06,Friday,99445.89433262158,276.8763523082016,0.27764606860250773
3,2025-06-27 05:10:00+00:00,2025-06-27 05:34:00+00:00,long,3,144.56243960179071,144.46243960179072,144.46243960179072,144.6655,,SL_Hit_PipBased,-9.999999999999432,-268.689218505463,-268.689218505463,388155,IB_FailedBreak_Rev_Long,1,144.52,3.3999999999991815,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Afternoon_Trading,50.17182130584275,144.48600643086817,0.49999999999967704,2.2086201550933993,13.282682884400288,2.0,24.0,Friday,5,n,n,24.0,False,2025-06,Friday,99177.20511411612,545.5655708136619,0.5470822431692709
4,2025-06-27 05:20:00+00:00,2025-06-27 05:34:00+00:00,short,2,144.50946464303803,144.48638722705329,144.56946464303803,144.42946464303802,,Trailing_Stop,2.307741598474422,79.86017377706035,79.86017377706035,500000,IB_Low_Retest,1,144.52,0.20000000000095497,,0,wide,Afternoon_Trading,55.95667870036122,144.4880010384216,0.41935483870976614,6.307741598476468,4.103961074002882,14.0,14.0,Friday,5,n,n,14.0,True,2025-06,Friday,99257.06528789319,465.70539703659597,0.46700005809904144
5,2025-06-27 05:35:00+00:00,2025-06-27 05:41:00+00:00,short,2,144.39763118153022,144.45763118153022,144.45763118153022,144.3176311815302,,SL_Hit_PipBased,-6.000000000000227,-207.67334861183033,-207.67334861183033,500000,IB_Low_Retest,1,144.52,11.400000000000432,VWAP_support,1,wide,Afternoon_Trading,69.97742663656746,144.4885386904762,0.8031496062991826,0.0,6.262208775760314,,6.0,Friday,5,n,n,6.0,False,2025-06,Friday,99049.39193928136,673.3787456484279,0.6752507386461832
6,2025-06-27 06:25:00+00:00,2025-06-27 06:28:00+00:00,short,1,144.288587858903,144.36858785890303,144.36858785890303,144.229,144.08350000000002,SL_Hit_PipBased,-8.00000000000125,-277.0685825305696,-277.0685825305696,500000,IB_Low,1,144.52,22.20000000000084,"VWAP_support,PTS_alignment",2,wide,Afternoon_Trading,53.00546448087554,144.4789170984456,0.7435897435896222,0.0,8.287210359694086,,3.0,Friday,6,n,n,3.0,False,2025-06,Friday,98772.32335675079,950.4473281789979,0.9530895718711017
7,2025-06-30 01:25:00+00:00,2025-06-30 01:50:00+00:00,short,1,144.38719791267883,144.311960386343,144.46719791267884,144.18719791267884,144.041,Trailing_Stop,7.523752633582603,260.67668311900417,260.67668311900417,500000,IB_Low,1,144.476,7.900000000000773,"VWAP_support,PTS_alignment",2,wide,Active_Trading,64.09608091023878,144.5781046511628,0.6791044776119276,13.122773834936652,4.762104606356843,21.0,25.0,Monday,1,n,n,25.0,True,2025-06,Monday,99033.00003986979,689.7706450599944,0.6916882075401796
9,2025-06-30 01:45:00+00:00,2025-06-30 01:53:00+00:00,short,1,144.252039613657,144.332039613657,144.332039613657,144.186,144.041,SL_Hit_PipBased,-8.00000000000125,-277.1387427703292,-277.1387427703292,500000,IB_Low,1,144.476,21.399999999999864,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Active_Trading,31.475409836066063,144.5356603773585,0.6190476190478447,0.0,8.79741754230281,,8.0,Monday,1,n,n,8.0,False,2025-06,Monday,98755.86129709946,966.9093878303247,0.9695973960503337
10,2025-06-30 01:50:00+00:00,2025-06-30 02:00:00+00:00,short,1,144.29399851865017,144.2869914976296,144.37399851865018,144.186,144.041,Trailing_Stop,0.7007021020569937,24.281541072554177,24.281541072554177,500000,IB_Low,1,144.476,17.199999999999704,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Active_Trading,31.475409836066063,144.5241801801802,0.6363636363636364,5.300702102056221,6.000109742700488,10.0,10.0,Monday,1,n,n,10.0,True,2025-06,Monday,98780.14283817202,942.6278467577649,0.9452483522905324
8,2025-06-30 01:40:00+00:00,2025-06-30 02:04:00+00:00,short,1,144.27809453482416,144.2479565401627,144.35809453482418,144.186,144.041,Trailing_Stop,3.0137994661458833,104.46593277412414,104.46593277412414,500000,IB_Low,1,144.476,18.799999999998818,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Active_Trading,40.27093596059032,144.54813531353136,0.962264150943214,8.213799466145133,7.590508125301199,23.0,24.0,Monday,1,n,n,24.0,True,2025-06,Monday,98884.60877094614,838.1619139836403,0.8404920042101318
